15,15,3,11,15,9,10,3,3,0,9,13,1,6,8,9,15,15,13,0,0,4,14,9,13,11,10,16,1,5,0,10,16,7,11,16,5,5,8,0,1,15,0,9,0,16,0,8,13,0,0,9,0,8,9,1,11,10,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,5,5,10,15,6,11,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,10,0,0,3,17,0,15,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,14,2,0,0,0
0.64476,0.54116,0.45164,0.77092,0.54482,1.273,0.81534,-0.16604,0.097208,0,0.24742,0.66021,0.92396,0.48241,1.3382,0.73061,0.17349,-0.44319,1.1686,0,0,2.1034,0.36899,2.5664,1.5338,0.61302,0.40477,0.91157,0.42432,-0.33113,0,1.8488,1.4983,-0.012237,1.3316,-0.071692,0.87213,0.82596,0.69877,0,1.335,2.6149,0,2.1633,0,1.8352,0,0.73434,0.66304,0,0,1.5748,0,-0.44958,0.033181,-0.75395,-0.18465,0.58087,0,0,0,0,0,0,1.0739,0,0,0.57629,0,0,0,0,0,0.66558,0,0,0,0,0,0,0.43907,0,0,0,0,-0.83065,-0.48089,0.28425,-0.41899,0.70912,-0.28743,0,0,0,0,0,0,-0.36652,-0.53354,0,0.68756,0,0,0,0,0,0,0,0.82841,0,0,0.45622,1.2808,0,-0.13115,-0.72135,0,0,0,0,0,0,0,0,0,0,0,-0.56362,0,0,0,0,1.7473,0.41017,0,0,0
2,4,6,8,10,12,14,16,18,0,20,22,24,26,28,30,32,34,36,0,0,38,40,42,44,46,48,50,52,54,0,56,58,60,62,64,66,68,70,0,72,74,0,76,0,78,0,80,82,0,0,84,0,86,88,90,92,94,0,0,0,0,0,0,96,0,0,98,0,0,0,0,0,100,0,0,0,0,0,0,102,0,0,0,0,104,106,108,110,112,114,0,0,0,0,0,0,116,118,0,120,0,0,0,0,0,0,0,122,0,0,124,126,0,128,130,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,134,136,0,0,0
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,7,0,4,0,1,0,0,4,4,0,4,0,0,0,0,0,5,1,1,6,1,3,0,1,1,0,2,5,5,4,4,0,2,7,7,2,5,2,0,2,2,2,7,0,0,0,0,0,0,1,3,2,3,2,1,0,0,7,0,2,2,6,6,5,1,6,0,6,6,0,0,3,0,0,4,4,4,7,7,3,6,1,3,3,3,0,3,5,5,1,0,0,3,3,3
