4,8,15,3,15,1,8,14,11,5,9,4,7,14,16,0,11,15,14,11,12,11,1,0,0,0,0,8,10,10,5,11,11,14,4,7,9,0,4,3,15,6,17,13,0,0,0,5,16,7,9,0,0,6,9,15,7,12,9,12,0,12,0,0,0,0,0,0,0,0,0,11,0,0,0,3,11,0,10,10,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,12,0,0,0,0,5,8,17,0,0,13,0,12,0,0,0,0,0,0,0,0,15,0,0,0,0,0
1.311,0.82666,0.69088,0.27119,0.64859,1.2964,0.84759,-0.11214,0.46665,1.0692,1.5207,2.0644,0.084097,-0.53465,1.4568,0,0.27987,0.60975,1.1018,0.26867,1.5962,0.62031,1.3584,0,0,0,0,0.063229,0.0007674,0.59295,1.9156,0.19998,1.1153,1.0034,0.24186,1.1121,-0.72661,0,-0.18431,0.96886,-0.25907,1.4338,0.81873,0.42885,0,0,0,-0.93221,2.2161,1.0297,1.3548,0,0,0.98471,-0.7479,0.79618,0.27573,0.52823,-0.57927,0.18759,0,0.88278,0,0,0,0,0,0,0,0,0,-0.19535,0,0,0,0.12615,-0.48093,0,-0.21573,0.54557,0,0,0,0,0,0.22116,0,0,0,0.66416,0,0,0,0,0,0,-0.39765,0,0,0,0.1712,0,0,0,0,0,1.3305,0,0,0,0,-0.18265,-0.31167,1.401,0,0,0.81781,0,1.401,0,0,0,0,0,0,0,0,-0.60857,0,0,0,0,0
2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,0,32,34,36,38,40,42,44,0,0,0,0,46,48,50,52,54,56,58,60,62,64,0,66,68,70,72,74,76,0,0,0,78,80,82,84,0,0,86,88,90,92,94,96,98,0,100,0,0,0,0,0,0,0,0,0,102,0,0,0,104,106,0,108,110,0,0,0,0,0,112,0,0,0,114,0,0,0,0,0,0,116,0,0,0,118,0,0,0,0,0,120,0,0,0,0,122,124,126,0,0,128,0,130,0,0,0,0,0,0,0,0,132,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,6,5,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,5,5,0,0,0,0,5,7,0,0,0,0,0,0,0,3,0,1,1,3,1,4,2,3,3,2,0,2,2,1,0,0,5,0,0,5,4,4,4,7,0,3,6,6,0,7,1,1,6,2,1,0,4,2,1,0,2,2,7,7,7,0,5,5,4,4,0,0,0,1,3,0,1,0,7,7,5,6,6,6,1,6,0,3,1,1,3,3
