9,8,5,3,14,1,12,4,15,1,16,16,0,3,7,11,13,6,7,9,14,12,0,1,0,9,0,0,0,7,14,16,0,14,15,15,0,4,0,0,0,4,6,0,13,0,0,15,5,8,8,0,10,14,0,0,0,0,0,0,3,12,0,0,0,0,0,16,9,15,15,13,7,11,0,14,0,0,11,0,13,0,0,6,15,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,1,3,0,9,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,0,0
1.4534,0.91098,1.5466,0.64956,1.5867,1.9601,1.4013,1.8119,0.64003,1.7222,1.7558,1.3038,0,0.31912,1.6924,0.36226,0.90406,1.7769,1.9133,1.2111,0.29925,1.9779,0,0.4638,0,2.4017,0,0,0,0.48803,1.2131,0.5234,0,2.2778,0.16031,1.8859,0,-0.017119,0,0,0,1.3744,0.85259,0,1.0173,0,0,0.70609,0.011183,-0.0087843,0.34973,0,-0.41221,0.4632,0,0,0,0,0,0,0.29737,0.91334,0,0,0,0,0,0.57895,0.27779,0.26351,0.58942,0.74955,0.19649,0.91065,0,0.37404,0,0,0.2267,0,0.57332,0,0,-0.34886,-0.0006403,0,0,0,-0.0067067,0.25365,0,0,0,0,0.10901,0,0,0,0,0,2.1136,1.7637,0,-0.42704,0,0,0,0,0,-0.10099,0,0,0,0.51007,0,0,0,0,0,0,0,0,0
2,4,6,8,10,12,14,16,18,20,22,24,0,26,28,30,32,34,36,38,40,42,0,44,0,46,0,0,0,48,50,52,0,54,56,58,0,60,0,0,0,62,64,0,66,0,0,68,70,72,74,0,76,78,0,0,0,0,0,0,80,82,0,0,0,0,0,84,86,88,90,92,94,96,0,98,0,0,100,0,102,0,0,104,106,0,0,0,108,110,0,0,0,0,112,0,0,0,0,0,114,116,0,118,0,0,0,0,0,120,0,0,0,122,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,4,0,7,4,7,0,0,0,4,0,0,0,2,0,4,4,4,0,0,7,0,7,7,0,0,0,0,3,0,0,3,3,2,5,5,2,0,0,4,1,1,7,7,0,0,0,0,0,0,0,1,0,5,1,0,2,0,2,3,0,0,5,4,6,0,0,2,6,1,4,0,3,1,5,5,4,0,0,2,0,3,6,6,6,6,0,6,1,1,0,1,2,2,1,6,6,3,1,3
