5,10,15,15,12,13,9,11,2,16,12,16,0,12,9,4,4,8,7,16,0,14,16,0,0,14,17,8,1,16,12,7,8,0,9,16,4,0,8,15,15,0,10,6,0,10,9,13,0,0,0,0,0,4,6,13,1,0,0,0,4,16,0,0,0,15,9,6,13,2,15,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,8,0,0,0,7,9,13,13,0,0,0,0,0,12,0,0,0,0,0,5,5,0,0,0,9,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
1.0047,0.5156,0.3882,0.63386,0.92647,1.0302,1.6516,0.27365,0.42262,2.3627,2.4355,0.42234,0,0.57448,2.6335,0.022426,1.5907,-0.1742,0.9174,0.12627,0,1.5547,0.049457,0,0,0.97364,0.48817,2.3816,0.92658,0.36911,0.61892,0.52456,-0.18228,0,-0.33358,1.8401,1.7772,0,0.47831,0.45107,0.67504,0,1.1431,3.1862,0,0.57978,0.40751,1.2059,0,0,0,0,0,0.40478,-0.01407,-0.086238,0.44057,0,0,0,0.091716,0.79966,0,0,0,0.048456,1.7778,0.85309,0.62758,1.1292,1.3518,0,0,0,0,0,0,0,0,0,0,0,0.2976,0,0,0,1.5025,0,-0.13782,0,0,0,0.063035,-0.01751,0.9195,0.54987,0,0,0,0,0,1.7087,0,0,0,0,0,-0.84451,-0.78947,0,0,0,-0.021079,0,0,0,0,0,0,0,1.1771,0,0,0,0,0,0,0,0
2,4,6,8,10,12,14,16,18,20,22,24,0,26,28,30,32,34,36,38,0,40,42,0,0,44,46,48,50,52,54,56,58,0,60,62,64,0,66,68,70,0,72,74,0,76,78,80,0,0,0,0,0,82,84,86,88,0,0,0,90,92,0,0,0,94,96,98,100,102,104,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,108,0,110,0,0,0,112,114,116,118,0,0,0,0,0,120,0,0,0,0,0,122,124,0,0,0,126,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,4,0,0,0,7,7,7,3,1,0,0,0,0,6,4,2,0,0,5,2,5,0,0,0,0,0,0,1,3,2,2,2,3,2,2,7,4,6,0,6,3,1,0,6,0,2,5,4,0,0,0,0,7,1,3,5,4,0,6,3,4,6,6,0,0,3,1,5,0,1,6,4,4,4,4,3,0,1,1,1,1,5,5,3,1
