10,6,16,15,15,1,5,11,10,11,10,3,0,3,13,16,12,9,9,3,3,7,8,0,7,9,13,6,2,2,2,8,15,0,5,1,0,0,0,0,0,0,12,9,9,0,0,17,5,16,0,7,0,5,0,3,15,0,0,0,0,4,0,1,2,16,11,0,7,0,0,0,0,1,0,0,0,10,0,9,11,0,0,8,2,6,5,0,1,16,5,0,8,12,0,9,5,0,5,0,0,15,8,0,0,0,4,0,0,0,0,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1.0934,1.1295,-0.080111,0.6452,0.42462,0.45139,1.2371,0.73867,0.13049,0.42349,0.34618,0.0071567,0,-0.19684,1.0517,1.3818,1.6766,-0.85,1.6331,1.8859,0.38917,0.58746,0.97265,0,1.7843,1.3607,1.5743,2.9973,0.86852,0.23984,0.5437,-0.25105,-0.056266,0,-0.31909,0.42646,0,0,0,0,0,0,-0.15535,1.0249,1.2952,0,0,0.61033,0.60997,1.3488,0,1.5529,0,1.5123,0,0.28156,0.53866,0,0,0,0,0.052936,0,2.3386,0.64931,2.295,-0.1884,0,1.1779,0,0,0,0,1.0312,0,0,0,1.5553,0,2.6399,0.16835,0,0,-0.048419,-0.224,-0.90396,-0.7144,0,1.2978,1.299,-0.8984,0,0.66745,1.0831,0,0.5937,-0.46058,0,0.86702,0,0,0.67905,0.72071,0,0,0,0.27773,0,0,0,0,0.45516,-0.11427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5642,0.62395,0,0,0
2,4,6,8,10,12,14,16,18,20,22,24,0,26,28,30,32,34,36,38,40,42,44,0,46,48,50,52,54,56,58,60,62,0,64,66,0,0,0,0,0,0,68,70,72,0,0,74,76,78,0,80,0,82,0,84,86,0,0,0,0,88,0,90,92,94,96,0,98,0,0,0,0,100,0,0,0,102,0,104,106,0,0,108,110,112,114,0,116,118,120,0,122,124,0,126,128,0,130,0,0,132,134,0,0,0,136,0,0,0,0,138,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,144,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,7,3,3,2,1,6,0,0,0,3,3,0,0,0,2,0,2,0,1,0,0,1,5,1,1,0,1,0,0,0,0,2,0,4,7,2,7,0,4,7,4,0,4,0,0,4,7,0,0,0,0,1,0,0,0,2,0,0,5,0,0,2,0,4,4,0,0,7,7,7,0,6,3,1,3,0,0,6,6,3,1,5,5,5,5,5,5,2,3,5,5,4,4,2,2,1,4,1,3,2,7,6,6,6,0,0,3,3,6
